1
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']


3
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
NMNt2m 	['iMM904 h_c', 'iMM904 nmn_c'] 	['iMM904 h_m', 'iMM904 nmn_m']
PYRt2m 	['iMM904 pyr_c', 'iMM904 h_c'] 	['iMM904 h_m', 'iMM904 pyr_m']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PNP 	['iMM904 h_c', 'iMM904 ncam_c', 'iMM904 r1p_c'] 	['iMM904 rnam_c', 'iMM904 pi_c']
NNAMr 	['iMM904 nac_c', 'iMM904 nh4_c'] 	['iMM904 h2o_c', 'iMM904 ncam_c']
NADN 	['iMM904 h2o_c', 'iMM904 nad_c'] 	['iMM904 adprib_c', 'iMM904 h_c', 'iMM904 ncam_c']
PUNP1 	['iMM904 ade_c', 'iMM904 r1p_c'] 	['iMM904 pi_c', 'iMM904 adn_c']
NTD7 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 pi_c', 'iMM904 adn_c']
RNMK 	['iMM904 rnam_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 nmn_c', 'iMM904 adp_c']
NNAMr 	['iMM904 h2o_c', 'iMM904 ncam_c'] 	['iMM904 nac_c', 'iMM904 nh4_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
PYRt2m 	['iMM904 h_m', 'iMM904 pyr_m'] 	['iMM904 pyr_c', 'iMM904 h_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']
PUNP1 	['iMM904 pi_c', 'iMM904 adn_c'] 	['iMM904 ade_c', 'iMM904 r1p_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']


4
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
NMNt2m 	['iMM904 h_c', 'iMM904 nmn_c'] 	['iMM904 h_m', 'iMM904 nmn_m']
PYRt2m 	['iMM904 pyr_c', 'iMM904 h_c'] 	['iMM904 h_m', 'iMM904 pyr_m']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PNP 	['iMM904 h_c', 'iMM904 ncam_c', 'iMM904 r1p_c'] 	['iMM904 rnam_c', 'iMM904 pi_c']
NNAMr 	['iMM904 nac_c', 'iMM904 nh4_c'] 	['iMM904 h2o_c', 'iMM904 ncam_c']
NADN 	['iMM904 h2o_c', 'iMM904 nad_c'] 	['iMM904 adprib_c', 'iMM904 h_c', 'iMM904 ncam_c']
PUNP1 	['iMM904 pi_c', 'iMM904 adn_c'] 	['iMM904 ade_c', 'iMM904 r1p_c']
NTD7 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 pi_c', 'iMM904 adn_c']
RNMK 	['iMM904 rnam_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 nmn_c', 'iMM904 adp_c']
NNAMr 	['iMM904 h2o_c', 'iMM904 ncam_c'] 	['iMM904 nac_c', 'iMM904 nh4_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
PYRt2m 	['iMM904 h_m', 'iMM904 pyr_m'] 	['iMM904 pyr_c', 'iMM904 h_c']
AMPDA 	['iMM904 amp_c', 'iMM904 h2o_c', 'iMM904 h_c'] 	['iMM904 imp_c', 'iMM904 nh4_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']


5
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
NMNt2m 	['iMM904 h_c', 'iMM904 nmn_c'] 	['iMM904 h_m', 'iMM904 nmn_m']
PYRt2m 	['iMM904 pyr_c', 'iMM904 h_c'] 	['iMM904 h_m', 'iMM904 pyr_m']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PNP 	['iMM904 h_c', 'iMM904 ncam_c', 'iMM904 r1p_c'] 	['iMM904 rnam_c', 'iMM904 pi_c']
NNAMr 	['iMM904 nac_c', 'iMM904 nh4_c'] 	['iMM904 h2o_c', 'iMM904 ncam_c']
NADN 	['iMM904 h2o_c', 'iMM904 nad_c'] 	['iMM904 adprib_c', 'iMM904 h_c', 'iMM904 ncam_c']
PUNP1 	['iMM904 pi_c', 'iMM904 adn_c'] 	['iMM904 ade_c', 'iMM904 r1p_c']
NTD7 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 pi_c', 'iMM904 adn_c']
RNMK 	['iMM904 rnam_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 nmn_c', 'iMM904 adp_c']
NNAMr 	['iMM904 h2o_c', 'iMM904 ncam_c'] 	['iMM904 nac_c', 'iMM904 nh4_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
PYRt2m 	['iMM904 h_m', 'iMM904 pyr_m'] 	['iMM904 pyr_c', 'iMM904 h_c']
ADA 	['iMM904 h2o_c', 'iMM904 h_c', 'iMM904 adn_c'] 	['iMM904 nh4_c', 'iMM904 ins_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']


6
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
NMNt2m 	['iMM904 h_c', 'iMM904 nmn_c'] 	['iMM904 h_m', 'iMM904 nmn_m']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PNP 	['iMM904 h_c', 'iMM904 ncam_c', 'iMM904 r1p_c'] 	['iMM904 rnam_c', 'iMM904 pi_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
PUNP5 	['iMM904 pi_c', 'iMM904 ins_c'] 	['iMM904 hxan_c', 'iMM904 r1p_c']
PUNP1 	['iMM904 ade_c', 'iMM904 r1p_c'] 	['iMM904 pi_c', 'iMM904 adn_c']
NTD7 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 pi_c', 'iMM904 adn_c']
RNMK 	['iMM904 rnam_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 nmn_c', 'iMM904 adp_c']
ADA 	['iMM904 h2o_c', 'iMM904 h_c', 'iMM904 adn_c'] 	['iMM904 nh4_c', 'iMM904 ins_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']
PYRt2m 	['iMM904 pyr_c', 'iMM904 h_c'] 	['iMM904 h_m', 'iMM904 pyr_m']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
NADN 	['iMM904 h2o_c', 'iMM904 nad_c'] 	['iMM904 adprib_c', 'iMM904 h_c', 'iMM904 ncam_c']
PYRt2m 	['iMM904 h_m', 'iMM904 pyr_m'] 	['iMM904 pyr_c', 'iMM904 h_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
PUNP1 	['iMM904 pi_c', 'iMM904 adn_c'] 	['iMM904 ade_c', 'iMM904 r1p_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']


7
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
NMNt2m 	['iMM904 h_c', 'iMM904 nmn_c'] 	['iMM904 h_m', 'iMM904 nmn_m']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PNP 	['iMM904 h_c', 'iMM904 ncam_c', 'iMM904 r1p_c'] 	['iMM904 rnam_c', 'iMM904 pi_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
PUNP5 	['iMM904 pi_c', 'iMM904 ins_c'] 	['iMM904 hxan_c', 'iMM904 r1p_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']
NTD7 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 pi_c', 'iMM904 adn_c']
NTD11 	['iMM904 h2o_c', 'iMM904 imp_c'] 	['iMM904 pi_c', 'iMM904 ins_c']
ADA 	['iMM904 h2o_c', 'iMM904 h_c', 'iMM904 adn_c'] 	['iMM904 nh4_c', 'iMM904 ins_c']
INSK 	['iMM904 ins_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 imp_c', 'iMM904 adp_c']
PYRt2m 	['iMM904 pyr_c', 'iMM904 h_c'] 	['iMM904 h_m', 'iMM904 pyr_m']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
RNMK 	['iMM904 rnam_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 nmn_c', 'iMM904 adp_c']
NADN 	['iMM904 h2o_c', 'iMM904 nad_c'] 	['iMM904 adprib_c', 'iMM904 h_c', 'iMM904 ncam_c']
PYRt2m 	['iMM904 h_m', 'iMM904 pyr_m'] 	['iMM904 pyr_c', 'iMM904 h_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']


8
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
NMNt2m 	['iMM904 h_c', 'iMM904 nmn_c'] 	['iMM904 h_m', 'iMM904 nmn_m']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PNP 	['iMM904 h_c', 'iMM904 ncam_c', 'iMM904 r1p_c'] 	['iMM904 rnam_c', 'iMM904 pi_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
PUNP5 	['iMM904 pi_c', 'iMM904 ins_c'] 	['iMM904 hxan_c', 'iMM904 r1p_c']
IMPC 	['iMM904 fprica_c'] 	['iMM904 h2o_c', 'iMM904 imp_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
NTD11 	['iMM904 h2o_c', 'iMM904 imp_c'] 	['iMM904 pi_c', 'iMM904 ins_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']
PYRt2m 	['iMM904 pyr_c', 'iMM904 h_c'] 	['iMM904 h_m', 'iMM904 pyr_m']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
RNMK 	['iMM904 rnam_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 nmn_c', 'iMM904 adp_c']
NADN 	['iMM904 h2o_c', 'iMM904 nad_c'] 	['iMM904 adprib_c', 'iMM904 h_c', 'iMM904 ncam_c']
PYRt2m 	['iMM904 h_m', 'iMM904 pyr_m'] 	['iMM904 pyr_c', 'iMM904 h_c']
AMPDA 	['iMM904 amp_c', 'iMM904 h2o_c', 'iMM904 h_c'] 	['iMM904 imp_c', 'iMM904 nh4_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
IMPC 	['iMM904 h2o_c', 'iMM904 imp_c'] 	['iMM904 fprica_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']


9
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
NMNt2m 	['iMM904 h_c', 'iMM904 nmn_c'] 	['iMM904 h_m', 'iMM904 nmn_m']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
ADD 	['iMM904 ade_c', 'iMM904 h2o_c', 'iMM904 h_c'] 	['iMM904 nh4_c', 'iMM904 hxan_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
PUNP5 	['iMM904 pi_c', 'iMM904 ins_c'] 	['iMM904 hxan_c', 'iMM904 r1p_c']
PUNP1 	['iMM904 pi_c', 'iMM904 adn_c'] 	['iMM904 ade_c', 'iMM904 r1p_c']
NTD7 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 pi_c', 'iMM904 adn_c']
RNMK 	['iMM904 rnam_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 nmn_c', 'iMM904 adp_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
PUNP5 	['iMM904 hxan_c', 'iMM904 r1p_c'] 	['iMM904 pi_c', 'iMM904 ins_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']
PYRt2m 	['iMM904 pyr_c', 'iMM904 h_c'] 	['iMM904 h_m', 'iMM904 pyr_m']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
NADN 	['iMM904 h2o_c', 'iMM904 nad_c'] 	['iMM904 adprib_c', 'iMM904 h_c', 'iMM904 ncam_c']
PYRt2m 	['iMM904 h_m', 'iMM904 pyr_m'] 	['iMM904 pyr_c', 'iMM904 h_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
PNP 	['iMM904 h_c', 'iMM904 ncam_c', 'iMM904 r1p_c'] 	['iMM904 rnam_c', 'iMM904 pi_c']


10
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
NMNt2m 	['iMM904 h_c', 'iMM904 nmn_c'] 	['iMM904 h_m', 'iMM904 nmn_m']
PYRt2m 	['iMM904 pyr_c', 'iMM904 h_c'] 	['iMM904 h_m', 'iMM904 pyr_m']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PNP 	['iMM904 h_c', 'iMM904 ncam_c', 'iMM904 r1p_c'] 	['iMM904 rnam_c', 'iMM904 pi_c']
PPM 	['iMM904 r5p_c'] 	['iMM904 r1p_c']
NADN 	['iMM904 h2o_c', 'iMM904 nad_c'] 	['iMM904 adprib_c', 'iMM904 h_c', 'iMM904 ncam_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
NTD7 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 pi_c', 'iMM904 adn_c']
RNMK 	['iMM904 rnam_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 nmn_c', 'iMM904 adp_c']
PPM 	['iMM904 r1p_c'] 	['iMM904 r5p_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PUNP5 	['iMM904 pi_c', 'iMM904 ins_c'] 	['iMM904 hxan_c', 'iMM904 r1p_c']
PYRt2m 	['iMM904 h_m', 'iMM904 pyr_m'] 	['iMM904 pyr_c', 'iMM904 h_c']
ADA 	['iMM904 h2o_c', 'iMM904 h_c', 'iMM904 adn_c'] 	['iMM904 nh4_c', 'iMM904 ins_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']


11
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
NMNt2m 	['iMM904 h_c', 'iMM904 nmn_c'] 	['iMM904 h_m', 'iMM904 nmn_m']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PNP 	['iMM904 h_c', 'iMM904 ncam_c', 'iMM904 r1p_c'] 	['iMM904 rnam_c', 'iMM904 pi_c']
PPM 	['iMM904 r5p_c'] 	['iMM904 r1p_c']
NADN 	['iMM904 h2o_c', 'iMM904 nad_c'] 	['iMM904 adprib_c', 'iMM904 h_c', 'iMM904 ncam_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PYRt2m 	['iMM904 pyr_c', 'iMM904 h_c'] 	['iMM904 h_m', 'iMM904 pyr_m']
RNMK 	['iMM904 rnam_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 nmn_c', 'iMM904 adp_c']
PPM 	['iMM904 r1p_c'] 	['iMM904 r5p_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
NTD11 	['iMM904 h2o_c', 'iMM904 imp_c'] 	['iMM904 pi_c', 'iMM904 ins_c']
PUNP5 	['iMM904 pi_c', 'iMM904 ins_c'] 	['iMM904 hxan_c', 'iMM904 r1p_c']
PYRt2m 	['iMM904 h_m', 'iMM904 pyr_m'] 	['iMM904 pyr_c', 'iMM904 h_c']
AMPDA 	['iMM904 amp_c', 'iMM904 h2o_c', 'iMM904 h_c'] 	['iMM904 imp_c', 'iMM904 nh4_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']


12
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
NMNt2m 	['iMM904 h_c', 'iMM904 nmn_c'] 	['iMM904 h_m', 'iMM904 nmn_m']
PYRt2m 	['iMM904 pyr_c', 'iMM904 h_c'] 	['iMM904 h_m', 'iMM904 pyr_m']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PNP 	['iMM904 h_c', 'iMM904 ncam_c', 'iMM904 r1p_c'] 	['iMM904 rnam_c', 'iMM904 pi_c']
PPM 	['iMM904 r5p_c'] 	['iMM904 r1p_c']
NADN 	['iMM904 h2o_c', 'iMM904 nad_c'] 	['iMM904 adprib_c', 'iMM904 h_c', 'iMM904 ncam_c']
PUNP1 	['iMM904 pi_c', 'iMM904 adn_c'] 	['iMM904 ade_c', 'iMM904 r1p_c']
NTD7 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 pi_c', 'iMM904 adn_c']
RNMK 	['iMM904 rnam_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 nmn_c', 'iMM904 adp_c']
PPM 	['iMM904 r1p_c'] 	['iMM904 r5p_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
PYRt2m 	['iMM904 h_m', 'iMM904 pyr_m'] 	['iMM904 pyr_c', 'iMM904 h_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']
