1
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
ALCD2x 	['iMM904 nadh_c', 'iMM904 acald_c', 'iMM904 h_c'] 	['iMM904 etoh_c', 'iMM904 nad_c']
ACCOACr 	['iMM904 hco3_c', 'iMM904 accoa_c', 'iMM904 atp_c'] 	['iMM904 pi_c', 'iMM904 h_c', 'iMM904 malcoa_c', 'iMM904 adp_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
HCO3E 	['iMM904 co2_c', 'iMM904 h2o_c'] 	['iMM904 hco3_c', 'iMM904 h_c']
PC 	['iMM904 hco3_c', 'iMM904 pyr_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 adp_c', 'iMM904 pi_c', 'iMM904 oaa_c']
ACCOACr 	['iMM904 pi_c', 'iMM904 h_c', 'iMM904 malcoa_c', 'iMM904 adp_c'] 	['iMM904 hco3_c', 'iMM904 accoa_c', 'iMM904 atp_c']
ACS 	['iMM904 atp_c', 'iMM904 ac_c', 'iMM904 coa_c'] 	['iMM904 ppi_c', 'iMM904 amp_c', 'iMM904 accoa_c']
PYRDC 	['iMM904 pyr_c', 'iMM904 h_c'] 	['iMM904 acald_c', 'iMM904 co2_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
GAPD 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c'] 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c']
TKT1 	['iMM904 g3p_c', 'iMM904 s7p_c'] 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
ALDD2y 	['iMM904 nadp_c', 'iMM904 acald_c', 'iMM904 h2o_c'] 	['iMM904 h_c', 'iMM904 ac_c', 'iMM904 nadph_c']
ALCD2if 	['iMM904 etoh_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 acald_c', 'iMM904 h_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']


657
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
ACS 	['iMM904 atp_c', 'iMM904 ac_c', 'iMM904 coa_c'] 	['iMM904 ppi_c', 'iMM904 amp_c', 'iMM904 accoa_c']
ACCOACr 	['iMM904 hco3_c', 'iMM904 accoa_c', 'iMM904 atp_c'] 	['iMM904 pi_c', 'iMM904 h_c', 'iMM904 malcoa_c', 'iMM904 adp_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
PYRDC 	['iMM904 pyr_c', 'iMM904 h_c'] 	['iMM904 acald_c', 'iMM904 co2_c']
HCO3E 	['iMM904 co2_c', 'iMM904 h2o_c'] 	['iMM904 hco3_c', 'iMM904 h_c']
PC 	['iMM904 hco3_c', 'iMM904 pyr_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 adp_c', 'iMM904 pi_c', 'iMM904 oaa_c']
ACCOACr 	['iMM904 pi_c', 'iMM904 h_c', 'iMM904 malcoa_c', 'iMM904 adp_c'] 	['iMM904 hco3_c', 'iMM904 accoa_c', 'iMM904 atp_c']
PYRt2m 	['iMM904 pyr_c', 'iMM904 h_c'] 	['iMM904 h_m', 'iMM904 pyr_m']
PYRt2p 	['iMM904 pyr_c', 'iMM904 h_c'] 	['iMM904 pyr_x', 'iMM904 h_x']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
PYRt2m 	['iMM904 h_m', 'iMM904 pyr_m'] 	['iMM904 pyr_c', 'iMM904 h_c']
ALDD2y 	['iMM904 nadp_c', 'iMM904 acald_c', 'iMM904 h2o_c'] 	['iMM904 h_c', 'iMM904 ac_c', 'iMM904 nadph_c']
PYRt2p 	['iMM904 pyr_x', 'iMM904 h_x'] 	['iMM904 pyr_c', 'iMM904 h_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']


658
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
ACS 	['iMM904 atp_c', 'iMM904 ac_c', 'iMM904 coa_c'] 	['iMM904 ppi_c', 'iMM904 amp_c', 'iMM904 accoa_c']
ACCOACr 	['iMM904 hco3_c', 'iMM904 accoa_c', 'iMM904 atp_c'] 	['iMM904 pi_c', 'iMM904 h_c', 'iMM904 malcoa_c', 'iMM904 adp_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
PYRDC 	['iMM904 pyr_c', 'iMM904 h_c'] 	['iMM904 acald_c', 'iMM904 co2_c']
HCO3E 	['iMM904 co2_c', 'iMM904 h2o_c'] 	['iMM904 hco3_c', 'iMM904 h_c']
PC 	['iMM904 hco3_c', 'iMM904 pyr_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 adp_c', 'iMM904 pi_c', 'iMM904 oaa_c']
ACCOACr 	['iMM904 pi_c', 'iMM904 h_c', 'iMM904 malcoa_c', 'iMM904 adp_c'] 	['iMM904 hco3_c', 'iMM904 accoa_c', 'iMM904 atp_c']
PYRt2m 	['iMM904 pyr_c', 'iMM904 h_c'] 	['iMM904 h_m', 'iMM904 pyr_m']
DPGM 	['iMM904 13dpg_c'] 	['iMM904 23dpg_c', 'iMM904 h_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
PYRt2m 	['iMM904 h_m', 'iMM904 pyr_m'] 	['iMM904 pyr_c', 'iMM904 h_c']
ALDD2y 	['iMM904 nadp_c', 'iMM904 acald_c', 'iMM904 h2o_c'] 	['iMM904 h_c', 'iMM904 ac_c', 'iMM904 nadph_c']
DPGM 	['iMM904 23dpg_c', 'iMM904 h_c'] 	['iMM904 13dpg_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']


659
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
ACS 	['iMM904 atp_c', 'iMM904 ac_c', 'iMM904 coa_c'] 	['iMM904 ppi_c', 'iMM904 amp_c', 'iMM904 accoa_c']
ACCOACr 	['iMM904 hco3_c', 'iMM904 accoa_c', 'iMM904 atp_c'] 	['iMM904 pi_c', 'iMM904 h_c', 'iMM904 malcoa_c', 'iMM904 adp_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
PYRDC 	['iMM904 pyr_c', 'iMM904 h_c'] 	['iMM904 acald_c', 'iMM904 co2_c']
HCO3E 	['iMM904 co2_c', 'iMM904 h2o_c'] 	['iMM904 hco3_c', 'iMM904 h_c']
PC 	['iMM904 hco3_c', 'iMM904 pyr_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 adp_c', 'iMM904 pi_c', 'iMM904 oaa_c']
ACCOACr 	['iMM904 pi_c', 'iMM904 h_c', 'iMM904 malcoa_c', 'iMM904 adp_c'] 	['iMM904 hco3_c', 'iMM904 accoa_c', 'iMM904 atp_c']
PYRt2m 	['iMM904 pyr_c', 'iMM904 h_c'] 	['iMM904 h_m', 'iMM904 pyr_m']
PRPPS 	['iMM904 amp_c', 'iMM904 h_c', 'iMM904 prpp_c'] 	['iMM904 r5p_c', 'iMM904 atp_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
PRPPS 	['iMM904 r5p_c', 'iMM904 atp_c'] 	['iMM904 amp_c', 'iMM904 h_c', 'iMM904 prpp_c']
PYRt2m 	['iMM904 h_m', 'iMM904 pyr_m'] 	['iMM904 pyr_c', 'iMM904 h_c']
ALDD2y 	['iMM904 nadp_c', 'iMM904 acald_c', 'iMM904 h2o_c'] 	['iMM904 h_c', 'iMM904 ac_c', 'iMM904 nadph_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']


660
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
ACS 	['iMM904 atp_c', 'iMM904 ac_c', 'iMM904 coa_c'] 	['iMM904 ppi_c', 'iMM904 amp_c', 'iMM904 accoa_c']
ACCOACr 	['iMM904 hco3_c', 'iMM904 accoa_c', 'iMM904 atp_c'] 	['iMM904 pi_c', 'iMM904 h_c', 'iMM904 malcoa_c', 'iMM904 adp_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
PYRDC 	['iMM904 pyr_c', 'iMM904 h_c'] 	['iMM904 acald_c', 'iMM904 co2_c']
HCO3E 	['iMM904 co2_c', 'iMM904 h2o_c'] 	['iMM904 hco3_c', 'iMM904 h_c']
PC 	['iMM904 hco3_c', 'iMM904 pyr_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 adp_c', 'iMM904 pi_c', 'iMM904 oaa_c']
ACCOACr 	['iMM904 pi_c', 'iMM904 h_c', 'iMM904 malcoa_c', 'iMM904 adp_c'] 	['iMM904 hco3_c', 'iMM904 accoa_c', 'iMM904 atp_c']
PYRt2m 	['iMM904 pyr_c', 'iMM904 h_c'] 	['iMM904 h_m', 'iMM904 pyr_m']
PPM 	['iMM904 r1p_c'] 	['iMM904 r5p_c']
PPM 	['iMM904 r5p_c'] 	['iMM904 r1p_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
PYRt2m 	['iMM904 h_m', 'iMM904 pyr_m'] 	['iMM904 pyr_c', 'iMM904 h_c']
ALDD2y 	['iMM904 nadp_c', 'iMM904 acald_c', 'iMM904 h2o_c'] 	['iMM904 h_c', 'iMM904 ac_c', 'iMM904 nadph_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']


661
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
ACS 	['iMM904 atp_c', 'iMM904 ac_c', 'iMM904 coa_c'] 	['iMM904 ppi_c', 'iMM904 amp_c', 'iMM904 accoa_c']
ACCOACr 	['iMM904 hco3_c', 'iMM904 accoa_c', 'iMM904 atp_c'] 	['iMM904 pi_c', 'iMM904 h_c', 'iMM904 malcoa_c', 'iMM904 adp_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
PYRDC 	['iMM904 pyr_c', 'iMM904 h_c'] 	['iMM904 acald_c', 'iMM904 co2_c']
TPI 	['iMM904 g3p_c'] 	['iMM904 dhap_c']
HCO3E 	['iMM904 co2_c', 'iMM904 h2o_c'] 	['iMM904 hco3_c', 'iMM904 h_c']
PC 	['iMM904 hco3_c', 'iMM904 pyr_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 adp_c', 'iMM904 pi_c', 'iMM904 oaa_c']
ACCOACr 	['iMM904 pi_c', 'iMM904 h_c', 'iMM904 malcoa_c', 'iMM904 adp_c'] 	['iMM904 hco3_c', 'iMM904 accoa_c', 'iMM904 atp_c']
PYRt2m 	['iMM904 pyr_c', 'iMM904 h_c'] 	['iMM904 h_m', 'iMM904 pyr_m']
TPI 	['iMM904 dhap_c'] 	['iMM904 g3p_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
PYRt2m 	['iMM904 h_m', 'iMM904 pyr_m'] 	['iMM904 pyr_c', 'iMM904 h_c']
ALDD2y 	['iMM904 nadp_c', 'iMM904 acald_c', 'iMM904 h2o_c'] 	['iMM904 h_c', 'iMM904 ac_c', 'iMM904 nadph_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']


662
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
ACS 	['iMM904 atp_c', 'iMM904 ac_c', 'iMM904 coa_c'] 	['iMM904 ppi_c', 'iMM904 amp_c', 'iMM904 accoa_c']
ACCOACr 	['iMM904 hco3_c', 'iMM904 accoa_c', 'iMM904 atp_c'] 	['iMM904 pi_c', 'iMM904 h_c', 'iMM904 malcoa_c', 'iMM904 adp_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
PYRDC 	['iMM904 pyr_c', 'iMM904 h_c'] 	['iMM904 acald_c', 'iMM904 co2_c']
RPE 	['iMM904 xu5p_DASH_D_c'] 	['iMM904 ru5p_DASH_D_c']
HCO3E 	['iMM904 co2_c', 'iMM904 h2o_c'] 	['iMM904 hco3_c', 'iMM904 h_c']
PC 	['iMM904 hco3_c', 'iMM904 pyr_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 adp_c', 'iMM904 pi_c', 'iMM904 oaa_c']
ACCOACr 	['iMM904 pi_c', 'iMM904 h_c', 'iMM904 malcoa_c', 'iMM904 adp_c'] 	['iMM904 hco3_c', 'iMM904 accoa_c', 'iMM904 atp_c']
PYRt2m 	['iMM904 pyr_c', 'iMM904 h_c'] 	['iMM904 h_m', 'iMM904 pyr_m']
RPI 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 r5p_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
PYRt2m 	['iMM904 h_m', 'iMM904 pyr_m'] 	['iMM904 pyr_c', 'iMM904 h_c']
ALDD2y 	['iMM904 nadp_c', 'iMM904 acald_c', 'iMM904 h2o_c'] 	['iMM904 h_c', 'iMM904 ac_c', 'iMM904 nadph_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']


663
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
ACS 	['iMM904 atp_c', 'iMM904 ac_c', 'iMM904 coa_c'] 	['iMM904 ppi_c', 'iMM904 amp_c', 'iMM904 accoa_c']
ACCOACr 	['iMM904 hco3_c', 'iMM904 accoa_c', 'iMM904 atp_c'] 	['iMM904 pi_c', 'iMM904 h_c', 'iMM904 malcoa_c', 'iMM904 adp_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
PYRDC 	['iMM904 pyr_c', 'iMM904 h_c'] 	['iMM904 acald_c', 'iMM904 co2_c']
RPE 	['iMM904 xu5p_DASH_D_c'] 	['iMM904 ru5p_DASH_D_c']
HCO3E 	['iMM904 co2_c', 'iMM904 h2o_c'] 	['iMM904 hco3_c', 'iMM904 h_c']
PC 	['iMM904 hco3_c', 'iMM904 pyr_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 adp_c', 'iMM904 pi_c', 'iMM904 oaa_c']
ACCOACr 	['iMM904 pi_c', 'iMM904 h_c', 'iMM904 malcoa_c', 'iMM904 adp_c'] 	['iMM904 hco3_c', 'iMM904 accoa_c', 'iMM904 atp_c']
PYRt2m 	['iMM904 pyr_c', 'iMM904 h_c'] 	['iMM904 h_m', 'iMM904 pyr_m']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
TKT1 	['iMM904 g3p_c', 'iMM904 s7p_c'] 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c']
PYRt2m 	['iMM904 h_m', 'iMM904 pyr_m'] 	['iMM904 pyr_c', 'iMM904 h_c']
ALDD2y 	['iMM904 nadp_c', 'iMM904 acald_c', 'iMM904 h2o_c'] 	['iMM904 h_c', 'iMM904 ac_c', 'iMM904 nadph_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']


664
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
ACS 	['iMM904 atp_c', 'iMM904 ac_c', 'iMM904 coa_c'] 	['iMM904 ppi_c', 'iMM904 amp_c', 'iMM904 accoa_c']
ACCOACr 	['iMM904 hco3_c', 'iMM904 accoa_c', 'iMM904 atp_c'] 	['iMM904 pi_c', 'iMM904 h_c', 'iMM904 malcoa_c', 'iMM904 adp_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
PYRDC 	['iMM904 pyr_c', 'iMM904 h_c'] 	['iMM904 acald_c', 'iMM904 co2_c']
HCO3E 	['iMM904 co2_c', 'iMM904 h2o_c'] 	['iMM904 hco3_c', 'iMM904 h_c']
PC 	['iMM904 hco3_c', 'iMM904 pyr_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 adp_c', 'iMM904 pi_c', 'iMM904 oaa_c']
ACCOACr 	['iMM904 pi_c', 'iMM904 h_c', 'iMM904 malcoa_c', 'iMM904 adp_c'] 	['iMM904 hco3_c', 'iMM904 accoa_c', 'iMM904 atp_c']
PYRt2m 	['iMM904 pyr_c', 'iMM904 h_c'] 	['iMM904 h_m', 'iMM904 pyr_m']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
TALA 	['iMM904 g3p_c', 'iMM904 s7p_c'] 	['iMM904 e4p_c', 'iMM904 f6p_c']
TALA 	['iMM904 e4p_c', 'iMM904 f6p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']
PYRt2m 	['iMM904 h_m', 'iMM904 pyr_m'] 	['iMM904 pyr_c', 'iMM904 h_c']
ALDD2y 	['iMM904 nadp_c', 'iMM904 acald_c', 'iMM904 h2o_c'] 	['iMM904 h_c', 'iMM904 ac_c', 'iMM904 nadph_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']


665
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
ACS 	['iMM904 atp_c', 'iMM904 ac_c', 'iMM904 coa_c'] 	['iMM904 ppi_c', 'iMM904 amp_c', 'iMM904 accoa_c']
ACCOACr 	['iMM904 hco3_c', 'iMM904 accoa_c', 'iMM904 atp_c'] 	['iMM904 pi_c', 'iMM904 h_c', 'iMM904 malcoa_c', 'iMM904 adp_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
PYRt2p 	['iMM904 pyr_c', 'iMM904 h_c'] 	['iMM904 pyr_x', 'iMM904 h_x']
HCO3E 	['iMM904 co2_c', 'iMM904 h2o_c'] 	['iMM904 hco3_c', 'iMM904 h_c']
PC 	['iMM904 hco3_c', 'iMM904 pyr_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 adp_c', 'iMM904 pi_c', 'iMM904 oaa_c']
PYRt2p 	['iMM904 pyr_x', 'iMM904 h_x'] 	['iMM904 pyr_c', 'iMM904 h_c']
DPGM 	['iMM904 13dpg_c'] 	['iMM904 23dpg_c', 'iMM904 h_c']
ACCOACr 	['iMM904 pi_c', 'iMM904 h_c', 'iMM904 malcoa_c', 'iMM904 adp_c'] 	['iMM904 hco3_c', 'iMM904 accoa_c', 'iMM904 atp_c']
PYRDC 	['iMM904 pyr_c', 'iMM904 h_c'] 	['iMM904 acald_c', 'iMM904 co2_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
ALDD2y 	['iMM904 nadp_c', 'iMM904 acald_c', 'iMM904 h2o_c'] 	['iMM904 h_c', 'iMM904 ac_c', 'iMM904 nadph_c']
DPGM 	['iMM904 23dpg_c', 'iMM904 h_c'] 	['iMM904 13dpg_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']


666
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
ACS 	['iMM904 atp_c', 'iMM904 ac_c', 'iMM904 coa_c'] 	['iMM904 ppi_c', 'iMM904 amp_c', 'iMM904 accoa_c']
ACCOACr 	['iMM904 hco3_c', 'iMM904 accoa_c', 'iMM904 atp_c'] 	['iMM904 pi_c', 'iMM904 h_c', 'iMM904 malcoa_c', 'iMM904 adp_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
PYRt2p 	['iMM904 pyr_c', 'iMM904 h_c'] 	['iMM904 pyr_x', 'iMM904 h_x']
HCO3E 	['iMM904 co2_c', 'iMM904 h2o_c'] 	['iMM904 hco3_c', 'iMM904 h_c']
PC 	['iMM904 hco3_c', 'iMM904 pyr_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 adp_c', 'iMM904 pi_c', 'iMM904 oaa_c']
PYRt2p 	['iMM904 pyr_x', 'iMM904 h_x'] 	['iMM904 pyr_c', 'iMM904 h_c']
PRPPS 	['iMM904 amp_c', 'iMM904 h_c', 'iMM904 prpp_c'] 	['iMM904 r5p_c', 'iMM904 atp_c']
ACCOACr 	['iMM904 pi_c', 'iMM904 h_c', 'iMM904 malcoa_c', 'iMM904 adp_c'] 	['iMM904 hco3_c', 'iMM904 accoa_c', 'iMM904 atp_c']
PYRDC 	['iMM904 pyr_c', 'iMM904 h_c'] 	['iMM904 acald_c', 'iMM904 co2_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
